645328	388	2008-02-14 13:15:00-05	Routine Proceedings	Questions Passed as Orders for Returns	\N		<p class="procedural" data-HoCid="906765">(Return tabled)</p>	86	2	\N	t	Question No. 159	\N	<p class="procedural" data-HoCid="906765">(Le document est déposé)</p>		R	p906765		procedural-3	/debates/2008/2/14/procedural-3/
232373	1878	2001-05-03 13:50:00-04	Government Orders	Federal-Provincial Fiscal Arrangements Act	2611	Ms. Marlene Catterall	<p>Mr. Speaker, I rise on a point of order. I believe you would find unanimous consent following consultation among all parties to further defer the vote just deferred until Monday to next Tuesday at the end of government orders.</p>	89	39	3465	f		\N						marlene-catterall-1	/debates/2001/5/3/marlene-catterall-1/
170961	944	1999-05-10 16:05:00-04	Government Orders	Income Tax Amendments Act, 1998	3066	Mr. Grant Hill (Macleod, Ref.)	<p>Mr. Speaker, today I would like to take a different approach on reviewing Bill C-72, which is an act to amend the Income Tax Act and implement measures announced in the February 1998 budget. I did hear some of my colleagues talk about the 1999 budget. I am going to focus my attention on the 1999 budget.</p>\n<p>I want to say right off the bat that it is very easy for an opposition politician to criticize. We can criticize almost anything. It is also as easy for a government member to put a spin on something that is very positive. That is part of the government-opposition interchange.</p>\n<p>It is interesting when a member of the government does a critique of its own budget. That has happened. I am not going to embarrass him by identifying him specifically, but there is a current sitting member of the Liberal government who is a well respected accountant. He came from an accountancy background to this place. I have talked with him personally. I find him to be a logical reasonable individual.</p>\n<p>The member said that he would try to do a critique, a review of the budget each time it came out. He has no axe to grind. He has no reason to put a spin on the proposal. He is a straightforward accountant. For the benefit of Canadians, I would like to go over the things that he says about the 1999 budget. Next year there will be an implementation bill just like this one for the 1999 budget.</p>\n<p>On the issue of the surplus that has been reported in the current budget, there is an $11.5 billion surplus just reported in this budget. This MP says, and says it very plainly, that the $11.5 billion surplus comes from increasing tax revenues, not from spending cuts. Let me quote that specifically again. The surplus in this budget comes not from spending cuts, which is what the government has been saying over and over again, but from increasing tax revenues.</p>\n<p>As an accountant he went through and picked out the figures. This is very useful. He also made a condemnatory statement when he said “These figures here I think have been massaged”. A Liberal member of the government commenting on the Liberal budget said again “These figures here I think have been massaged”.</p>\n<p>He turned his attention to spending. The first budget from the Liberals came down in 1994. The last budget was in 1999. He went back and looked at the spending in 1994. This is discretionary spending, something the government could do something about. In 1994, $56.7 billion was spent. In 1999, $54 billion was spent. We heard over and over again about the huge amounts that spending had been reduced by. The difference is $56.7 billion down to $54 billion, a grand total of $2.7 billion, not the figures we have been hearing.</p>\n<p>Then he turned his attention to taxes. He did exactly the same thing. He went back to 1994 and to see what the government took in in taxes, and this is a public document and a public record, and the projection for 1999. He found that in 1994 the government took in $116 billion in taxes. In 1999 it proposes to take in $157 billion in taxes. That is an increase of more than $40 billion.</p>\n<p>We will go back to the original statement. The original statement was plain, that the surplus in the budget comes not from spending cuts but from an increase in revenue.</p>\n<p>I have listened to my colleagues across the way say that it is because the economy is working so much better and they are getting more tax revenue. There is some truth in that statement. There is more revenue because the economy is better, largely because of provinces that are now booming. The provinces that are booming are provinces that have actually had a significant change in their taxes.</p>\n<p>The member talked about the debt. He said “My government promised to put revenue excess to pay down the debt”. He looked at the figures. Accountants really have a talent for this. He looked at the figures and found that there is no reduction in the debt. To the member across the way who said that the government has reduced the debt by $30 billion, this is what his compatriot said. There is $580 billion of debt now and that is shown right through to 2000-01. As plainly as I can state it in the member's words there is no reduction in the debt. It is difficult to refute when the figures are so plain.</p>\n<p>On the issue of the way the accounting is done is where the member's comments become so perfect. As an accountant he said “The finance minister has hidden some revenue”—interesting words for an accountant—“in things like the $3 billion contingency fund”—which is an emergency fund—“or into lump sum payments for health care which will not be spent until next year”. The member then followed that statement by saying “This flies in the face of good accounting”.</p>\n<p>Hark to the words of the auditor general who said exactly the same thing “this flies in the face of good accounting”. The auditor general will not sign off on this method of accounting, nor will the sitting Liberal member who is an accountant. This money will not be spent this year. It should not be booked this year. It should not artificially reduce the deficit.</p>\n<p>I digress from the member's comments and ask why would the finance minister not want Canadians to see the surplus? Could it possibly be because there is a lot of pressure on him to spend that surplus now, to go back down the deficit road? I think so. Could it possibly be that the finance minister wants to hold on to any surplus so that it could be used closer to an election? Possibly. Interesting questions.</p>\n<p>The Liberal MP, an accountant, then turned his attention to public debt charges. This is interesting. We are told debt charges are going down. The cumulative debt and cumulative interest are going down. That makes sense. The interest rate is going down. In 1997 the public debt charges were 40.9% and in 2001 the public debt charges are 43.3%. They rose. His comment was “He is showing”—that is the finance minister—“cumulative interest going up, yet we know market debt is going down. Something does not add up”. These are not my comments and not my criticism. These are the comments and criticism of the Liberal MP who is an accountant.</p>\n<p>On the surplus he says plainly that the government expects an $11.5 billion surplus. He said “I think if it”—the budget—“was based on generally accepted accounting principles, yes, there is a surplus and the public has a right to know how much it is”. We come back to the issue of the hidden surplus. I query again why would the surplus be hidden? The Liberal accountant MP asked the question, not myself. I do not know who asked the question, but he was asked whether the current budget gave a clear and accurate picture of government finances. His answer was an emphatic no. The answer from that sitting Liberal MP was no when asked whether the budget gave a clear and accurate picture of government finances.</p>\n<p>It is interesting to look at the way the government balanced its books, which is something I do not believe the public has a good grasp of. The budget was a health care budget. My prime interest in being in the House is health care. We saw all the advertising and heard all the talk about an $11.5 billion increase to health care funding over the next five years. That in itself was wonderful news. We would expect bells to ring across the country when the public heard about it. How could anyone criticize it?</p>\n<p>I am not now speaking for the accountant across the way. I am speaking for myself. Since 1993 I have watched cash transfers to the provinces drop $21.4 billion in the previous five years. Let us think of the cumulative effect on the provinces of them dropping $21.4 billion in five years. In the next five years they are to rise $11.5 billion. Is there any wonder why there is no cheering? Is there any wonder why there is no excitement? Is there any wonder why there are still long waiting lines for health services?</p>\n<p>I listened to a colleague across the way haranguing the Ontario provincial premier on Thursday on the issue of health care. He said that the provincial government in Ontario had done terrible things to health care. The figures are plain; $1.3 billion were put into health care by the Ontario government while the federal Liberals took out $3 billion.</p>\n<p>How could an individual Liberal in good conscience say what he said? It is a great difficulty. I will say it again as plainly as I can. Over five years $21.4 billion was taken out of health transfers and over the next five years $11.5 billion will be put back in. When I speak to kids in grade eight they say to me “Doc, the math doesn't equate”.</p>\n<p>The budget is very easy for an opposition politician to critique. I have chosen to use a Liberal MP's critique of it to say that all is not as it is spun. Are there good things in the budget? Let me take a few moments to say yes, there are. Are there things that I will not critique? There are. I believe there are things that my Liberal accountant colleague across the way would say are positive in an attempt to say there is some balance. None of these words were my critique, except for the health care critiques. They are the ones that are probably the most condemnatory.</p>\n<p>Let me summarize the comments of the Liberal MP accountant. I have not identified him so that he will not be embarrassed. In summary, the budget surplus comes from increasing tax revenues, not from spending cuts. The debt will the same from now until 2001 according to the budget projections. The Liberal MP stated on the accounting that the finance minister had hidden some revenue. This flies in the face of good accounting practice. On the public debt charges, something is going on that does not equate.</p>\n<p>When asked if the budget gave a clear and accurate picture of government finances, and I wish I had asked him, the answer was a simple straightforward categoric no. The auditor general said it. The Liberal MP said it. The accountant MP said it, and I will rest my case with his words.</p>	210	1793	3985	f		\N						grant-hill-1	/debates/1999/5/10/grant-hill-1/
27684	1138	1994-11-18 10:00:00-05		Privilege	\N	The Speaker	<p>My colleagues, I am now ready to rule on the question of privilege raised by the hon. member for Red Deer on November 15, 1994 concerning media disclosure of portions of the content of the report of the Special Joint Committee Reviewing Canada's Foreign Policy prior to the report's presentation to the House.</p>\n<p>I would like to thank the hon. member for bringing this matter to the attention of the House and the hon. member for Kingston and the Islands for his intervention.</p>\n<p>I wish to state at the outset that I view such matters very seriously, and I expect all members to do the same. The work of committees is very important and can only be successful if members can function knowing that their deliberations in the preparation of their reports can be kept confidential until presented in the House. All those involved in committee activity must know that they, along with the members of the committee, bear the responsibility to ensure that such committee matters are kept confidential.</p>\n<p>If our parliamentary system is to work efficiently and effectively committee members must be able to function without the fear that the fruits of their investigations will be disseminated to the public before they have been finalized and before the House has had an opportunity to see the product of their labours. This is why committee reports are confidential until tabled and why to break this confidentiality is a breach of privilege. This is not a new problem and as the hon. member for Red Deer noted I have commented on it in this session.</p>\n<p>The hon. member quite rightly pointed out referring to citation 877(1) of Beauchesne's sixth edition that the premature disclosure of a committee report constitutes a breach of privilege.</p>\n<p>This unauthorized release of committee information is indeed a contempt of Parliament. I must therefore commend the hon. member for having respected our traditions by refraining from commenting on the report before it was presented to the House. However now that the report has been tabled the member will have opportunities both inside and outside the House to explain his party's views on the contents of the report and to correct any misconceptions which may have been formed by the member's silence.</p>\n<p>The member has also cited section (2) of Beauchesne citation 877 which notes that for a question of privilege to be <em>prima facie</em> in these circumstances, it must be more specific that a blanket accusation against the publication of a confidential document by the press. This citation is based on an extensive ruling given by Speaker Jerome on June 23, 1977 at pages 1203 to 1210 of the <em>Journals</em> .</p>\n<p>I appreciate the hon. member's attempt to tie his argument to this portion of the citation. However, in carefully reading Speaker Jerome's ruling, it is clear that the point he was trying to make, and this is important for us today, was that it is necessary to look at our conduct in this matter. This, I feel, can only be done if specific allegations are raised about the conduct of a specific individual or group of individuals, as the Speaker ruled in 1977. Indeed, when similar matters have come before the House in recent years, most notably in 1987 and 1988, the practice has been to pursue the issue only when a specific individual can be cited.</p>\n<p>In 1987 it was alleged that a member revealed information about in camera committee proceedings. The committee in question reviewed the matter and upon its reporting to the House the Speaker found the incident to be a prima facie question of privilege. The matter was referred to the then Standing Committee on Elections, Privileges and Procedure for examination.</p>\n<p>The 1988 case involved the leaking of information to the media concerning a draft report of the Standing Committee on Finance. An unnamed employee of the member was found to have released the information but the issue was resolved by members of the committee who brought the matter to the attention of the House by way of a question of privilege. At that</p>\n<p>time Speaker Fraser ruled that the issue had been dealt with by the committee and there was therefore not a prima facie question of privilege.</p>\n<p>This said, as the hon. member for Red Deer has not made allegations against any particular individual I must state that at this time I am unable to accept this matter as a prima facie question of privilege. We are nonetheless faced with a very serious matter, for leaks of committee reports are not to be treated lightly.</p>\n<p>As all members are aware the Speaker is loath to intervene in committee matters. Difficulties arising in committee are traditionally brought to the attention of the House by way of a report from the committee. In circumstances similar to those currently before us a standing committee might decide to examine the matter of a breach of confidentiality and make a report to the House.</p>\n<p>The matter before us however is quite different for here we are dealing with a special joint committee which has tabled its final report. It has traditionally been interpreted that once a special committee tables its final report the committee ceases to exist.</p>\n<p>As I stated earlier, while I do not find that there is a prima facie question of privilege, the seriousness of a leak of confidential committee information should not go unchallenged. Should the House consent to have the question of premature disclosure of the committee report examined, there is nothing to prevent the House from doing so by way of a special order of reference to a committee.</p>\n<p>The matter of confidentiality is one of great importance to the House and I remind all members of their responsibility to ensure that confidential proceedings and reports of committees remain so.</p>	0	972	\N	t		\N						the-speaker-1	/debates/1994/11/18/the-speaker-1/
645329	388	2008-02-14 13:15:00-05	Routine Proceedings	Questions Passed as Orders for Returns	1534	Mr. Tom Lukiwski	<p data-HoCid="906766" data-originallang="en">Finally, Mr. Speaker, I ask that all remaining questions be allowed to stand.</p>	87	13	173	f		78722	<p data-HoCid="906766" data-originallang="en">Enfin, monsieur le Président, je demande que les autres questions restent au <em>Feuilleton</em>.</p>	interjection		2324890	Parliamentary Secretary to the Leader of the Government in the House of Commons and Minister for Democratic Reform, CPC	tom-lukiwski-7	/debates/2008/2/14/tom-lukiwski-7/
291892	1748	2003-03-25 10:05:00-05			\N	Some hon. members	<p>Agreed.</p>	1	1	\N	f		\N						some-hon-members-1	/debates/2003/3/25/some-hon-members-1/
232374	1878	2001-05-03 13:50:00-04	Government Orders	Federal-Provincial Fiscal Arrangements Act	\N	The Acting Speaker (Mr. Bélair)	<p>Is that agreed?</p>	90	3	\N	t		\N						the-acting-speaker-mr-belair-9	/debates/2001/5/3/the-acting-speaker-mr-belair-9/
232375	1878	2001-05-03 13:50:00-04	Government Orders	Federal-Provincial Fiscal Arrangements Act	\N	Some hon. members	<p>Agreed.</p>	91	1	\N	f		\N						some-hon-members-13	/debates/2001/5/3/some-hon-members-13/
232377	1878	2001-05-03 13:50:00-04			\N		<p>The House resumed from April 30 consideration of the motion that Bill C-6, an act to amend the International Boundary Waters Treaty Act, be read the second time and referred to a committee.</p>	93	33	\N	f		\N						procedural-2	/debates/2001/5/3/procedural-2/
3	1013	1994-01-19 14:00:00-05		Auditor General's Report	\N	An hon. member	<p>Order.</p>	1	1	\N	f		\N						an-hon-member-1	/debates/1994/1/19/an-hon-member-1/
